dataset,nu,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.01,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.05,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.1,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.15,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.2,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.3,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,0.5,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
breastw,0.01,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.05,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.1,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.15,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.2,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.3,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,0.5,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
cardio,0.01,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.05,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.1,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.15,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.2,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.3,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,0.5,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
mammography,0.01,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
