detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.8577333333333333,0.30648595061439365,0.3548387096774194,0.8571428571428571,0.34375,0.36666666666666664,11.0,21.0,229.0,19.0
Isolation Forest,0.9682666666666666,0.6126271659061658,0.7333333333333333,0.9428571428571428,0.7333333333333333,0.7333333333333333,22.0,8.0,242.0,8.0
Local Outlier Factor,0.9960000000000001,0.8990918268187829,0.0,0.8892857142857142,0.0,0.0,0.0,1.0,249.0,30.0
DBSCAN,0.444,0.10714285714285714,0.0,0.8821428571428571,0.0,0.0,0.0,3.0,247.0,30.0
ECOD,0.9498666666666666,0.5206222214088537,0.5333333333333333,0.9,0.5333333333333333,0.5333333333333333,16.0,14.0,236.0,14.0
