detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.6274503805338862,0.5632197067966963,0.5115365733922435,0.6907536907536908,0.5112855740922473,0.5117878192534381,1042.0,996.0,3403.0,994.0
Isolation Forest,0.706188359472661,0.6746992108751617,0.5903732809430255,0.7407925407925408,0.5903732809430255,0.5903732809430255,1202.0,834.0,3565.0,834.0
Local Outlier Factor,0.541746851735816,0.37238151523429985,0.3640050697084918,0.6101010101010101,0.3761131482451545,0.3526522593320236,718.0,1191.0,3208.0,1318.0
DBSCAN,0.5878441296043796,0.4586050442967959,0.23076923076923078,0.7078477078477079,0.6911764705882353,0.13850687622789784,282.0,126.0,4273.0,1754.0
ECOD,0.5829611212764465,0.5261240658997652,0.4494106090373281,0.6515928515928516,0.4494106090373281,0.4494106090373281,915.0,1121.0,3278.0,1121.0
