dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.25,5.7699,2,23.0796,0.14601769911504425,0.7573133825881079,0.07800014840199834,0.4278015100031931,0.09171551815110857,0.2557795545402627,0.005739532870406906
arrhythmia,0.25,5.7699,3,23.0796,0.14601769911504425,0.6062117369809676,0.13272429064207059,0.24322689452619262,0.12222172853259503,0.254789644012945,0.006012453778954761
arrhythmia,0.25,5.7699,5,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.25,5.7699,7,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.25,5.7699,10,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.25,5.7699,15,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.25,5.7699,20,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.5,11.5398,2,23.0796,0.14601769911504425,0.7649551913288177,0.076947189725174,0.4226163748510028,0.1017145123638593,0.4023004978339678,0.06673558259602566
arrhythmia,0.5,11.5398,3,23.0796,0.14601769911504425,0.7647553911290176,0.07678910532187641,0.4223427354469286,0.10158693334696826,0.4023004978339678,0.06673558259602566
arrhythmia,0.5,11.5398,5,23.0796,0.14601769911504425,0.7643557907294172,0.07683754240899744,0.421933340919887,0.1015451231434512,0.4023004978339678,0.06673558259602566
arrhythmia,0.5,11.5398,7,23.0796,0.14601769911504425,0.7691023262451835,0.07310482203840112,0.42395809456905775,0.09845573884087457,0.40588780966932225,0.061168562887573594
arrhythmia,0.5,11.5398,10,23.0796,0.14601769911504425,0.7681293065908451,0.07314315757501563,0.4232703740446892,0.0979664575175531,0.40588780966932225,0.061168562887573594
