dataset,eps_fraction,eps_abs,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.25,5.7699,23.0796,0.14601769911504425,0.5,0.0,0.14600732600732597,0.003967333414404839,0.254789644012945,0.006012453778954761
arrhythmia,0.5,11.5398,23.0796,0.14601769911504425,0.7643557907294172,0.07683754240899744,0.421933340919887,0.1015451231434512,0.4023004978339678,0.06673558259602566
arrhythmia,0.75,17.3097,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,1.0,23.0796,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,1.5,34.6194,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,2.0,46.1592,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,3.0,69.2388,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
breastw,0.25,0.5616,2.2463,0.34992679355783307,0.9937316741102151,0.002334355237623179,0.9881002402098324,0.004502697399990884,0.8537153695048432,0.014980464411251388
breastw,0.5,1.1231,2.2463,0.34992679355783307,0.9944432936525185,0.001801456781685146,0.9896697290731039,0.003380908556289571,0.9384115117394092,0.007101543382077454
breastw,0.75,1.6847,2.2463,0.34992679355783307,0.9773463024942226,0.009556986830371216,0.9444306967850812,0.030711344912894643,0.7601151132254357,0.022560622169469784
breastw,1.0,2.2463,2.2463,0.34992679355783307,0.9704369779555053,0.010787241409823699,0.937674749994323,0.02296241237416528,0.30721866706038553,0.06278592791058783
breastw,1.5,3.3694,2.2463,0.34992679355783307,0.9583222291345198,0.010506515857412566,0.9191962627934218,0.030511955010894053,0.0,0.0
breastw,2.0,4.4926,2.2463,0.34992679355783307,0.9583222291345198,0.010506515857412566,0.9191962627934218,0.030511955010894053,0.0,0.0
breastw,3.0,6.7388,2.2463,0.34992679355783307,0.9583222291345198,0.010506515857412566,0.9191962627934218,0.030511955010894053,0.0,0.0
cardio,0.25,0.7442,2.9769,0.0961223375204806,0.792746367429147,0.07239804112774922,0.4784763382983875,0.07848719474037166,0.17723963159377193,0.001605933588717379
cardio,0.5,1.4885,2.9769,0.0961223375204806,0.731555651465017,0.04857335011261255,0.3819798906957086,0.06123304031358067,0.2135516650385684,0.018072160454117855
cardio,0.75,2.2327,2.9769,0.0961223375204806,0.6799937658850045,0.04209401035511294,0.3449277718255292,0.057957399414418624,0.32113518952055975,0.02622869506674274
cardio,1.0,2.9769,2.9769,0.0961223375204806,0.6252198724404162,0.039988943507149564,0.3296749467490094,0.05419740810621288,0.35779407535231517,0.06158849575839565
cardio,1.5,4.4654,2.9769,0.0961223375204806,0.5553325660576415,0.024857294224203,0.26904894638312216,0.044918146428890894,0.19843830965782183,0.02690473617950298
cardio,2.0,5.9539,2.9769,0.0961223375204806,0.5379648012276411,0.016856152765774974,0.23142711839463517,0.02468444243690983,0.11559373138320508,0.037637776838729015
cardio,3.0,8.9308,2.9769,0.0961223375204806,0.5270728432359852,0.021935575780571596,0.18526203604292701,0.03638077512200726,0.020512820512820513,0.041025641025641026
mammography,0.25,0.1199,0.4798,0.023249575248144506,0.8715104876933781,0.018153300166804366,0.31210845502438095,0.06717811009426898,0.07620736154545396,0.0011686650914063445
mammography,0.5,0.2399,0.4798,0.023249575248144506,0.8574285187176844,0.014277359737144397,0.23488894865702553,0.0471431081940928,0.1035193427559391,0.0035685897914450905
mammography,0.75,0.3598,0.4798,0.023249575248144506,0.8316542739663669,0.01904734854254577,0.19513502088477302,0.048394008394746155,0.14361313302142342,0.011352957864649826
mammography,1.0,0.4798,0.4798,0.023249575248144506,0.8224425451330925,0.018785117142495568,0.20013664607479523,0.04624568435617231,0.18367080969938535,0.019892582591768907
mammography,1.5,0.7197,0.4798,0.023249575248144506,0.8136409738973107,0.021523720449407327,0.17167988999678152,0.04024070943505196,0.23068972291750284,0.06003706655705658
mammography,2.0,0.9596,0.4798,0.023249575248144506,0.8114303332940016,0.023681043505998263,0.16587569540594932,0.04174835248056181,0.22365550208687462,0.053507949707258994
mammography,3.0,1.4393,0.4798,0.023249575248144506,0.8098650222481855,0.02407864019710812,0.1655572207797073,0.04704820803849837,0.1915135712349134,0.04756315786770261
satellite,0.25,0.5222,2.0889,0.3163947163947164,0.5,0.0,0.3163947163947164,0.00031080031080030766,0.4806987702562924,0.00035857947362372133
satellite,0.5,1.0445,2.0889,0.3163947163947164,0.6725761947593545,0.013804463159055569,0.5369364334440047,0.014266354427554641,0.5140650747748828,0.005862404988999285
