detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.8557,0.2690662927454164,0.36065573770491804,0.962135922330097,0.3548387096774194,0.36666666666666664,11.0,20.0,980.0,19.0
Isolation Forest,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,30.0,0.0,1000.0,0.0
Local Outlier Factor,0.9972333333333334,0.9283886986568898,0.8,0.9893203883495145,0.88,0.7333333333333333,22.0,3.0,997.0,8.0
DBSCAN,0.5188999999999999,0.03417055427029217,0.0,0.9572815533980582,0.0,0.0,0.0,14.0,986.0,30.0
ECOD,0.9869833333333333,0.6657017203323009,0.6,0.9766990291262136,0.6,0.6,18.0,12.0,988.0,12.0
