detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.7448830409356725,0.19029252081179832,0.18181818181818182,0.925,0.2,0.16666666666666666,2.0,8.0,220.0,10.0
Isolation Forest,0.3983918128654971,0.20170910843339512,0.16666666666666666,0.9166666666666666,0.16666666666666666,0.16666666666666666,2.0,10.0,218.0,10.0
Local Outlier Factor,0.7595029239766082,0.2495349257318446,0.17391304347826086,0.9208333333333333,0.18181818181818182,0.16666666666666666,2.0,9.0,219.0,10.0
DBSCAN,0.6770833333333334,0.2986111111111111,0.25,0.95,0.5,0.16666666666666666,2.0,2.0,226.0,10.0
ECOD,0.2086988304093567,0.19420783136531555,0.16666666666666666,0.9166666666666666,0.16666666666666666,0.16666666666666666,2.0,10.0,218.0,10.0
