detector,auc_roc,auc_pr,f1
Isolation Forest,0.7983302139760436,0.6115743077582844,0.5932773458730445
One-Class SVM,0.7741709563376339,0.359258969945575,0.33595834435436817
ECOD,0.7611851473454952,0.5498528887321574,0.5322395926663389
Local Outlier Factor,0.7248737117560512,0.43572301910065786,0.3243094769626977
DBSCAN,0.6382411668708529,0.3304240649644489,0.2486337306384648
