detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.6198110550074296,0.10271523357756307,0.03230007814535035,0.6677993382813199,0.01732327465772562,0.23846153846153847,62.0,3517.0,7406.0,198.0
Isolation Forest,0.8570732892485159,0.20560492738299002,0.23846153846153847,0.9645891084682107,0.23846153846153847,0.23846153846153847,62.0,198.0,10725.0,198.0
Local Outlier Factor,0.7193004880316058,0.08912482204750652,0.18106995884773663,0.9644102655816865,0.19469026548672566,0.16923076923076924,44.0,182.0,10741.0,216.0
DBSCAN,0.7006244762287058,0.16472661863252405,0.20039292730844793,0.9272109451846553,0.1345646437994723,0.3923076923076923,102.0,656.0,10267.0,158.0
ECOD,0.9061567334981233,0.4359950234320086,0.4269230769230769,0.973352409907896,0.4269230769230769,0.4269230769230769,111.0,149.0,10774.0,149.0
