detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.802555693769083,0.7898967639554481,0.7254509018036072,0.7994143484626647,0.6961538461538461,0.7573221757322176,181.0,79.0,365.0,58.0
Isolation Forest,0.987523087941498,0.9712028968694718,0.9246861924686193,0.9472913616398243,0.9246861924686193,0.9246861924686193,221.0,18.0,426.0,18.0
Local Outlier Factor,0.44407063967733423,0.296236177469178,0.18604651162790697,0.4363103953147877,0.18803418803418803,0.18410041841004185,44.0,190.0,254.0,195.0
DBSCAN,0.6319593652229635,0.5199781332148227,0.21561338289962825,0.6910688140556369,0.9666666666666667,0.12133891213389121,29.0,1.0,443.0,210.0
ECOD,0.9913962079234047,0.9839277954892325,0.9288702928870293,0.9502196193265008,0.9288702928870293,0.9288702928870293,222.0,17.0,427.0,17.0
