detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.9661389621811786,0.36846949735672724,0.24242424242424243,0.9675324675324676,0.19047619047619047,0.3333333333333333,4.0,17.0,741.0,8.0
Isolation Forest,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,758.0,0.0
Local Outlier Factor,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,758.0,0.0
DBSCAN,1.0,1.0,0.6666666666666666,0.9844155844155844,0.5,1.0,12.0,12.0,746.0,0.0
ECOD,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,758.0,0.0
