detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.8612072070426213,0.3424977980845901,0.463970378809456,0.923335438010469,0.463970378809456,0.463970378809456,1629.0,1882.0,43704.0,1882.0
Isolation Forest,0.9973459699578725,0.981574089818982,0.9601253204215323,0.9942970038902581,0.9601253204215323,0.9601253204215323,3371.0,140.0,45446.0,140.0
Local Outlier Factor,0.5211857993098087,0.10852475063745456,0.12191759840710675,0.8832311546530338,0.1318754141815772,0.11335801765878667,398.0,2620.0,42966.0,3113.0
DBSCAN,0.5868798250043614,0.15016615774521316,0.21766561514195584,0.8989754974845714,0.24390243902439024,0.1965252064938764,690.0,2139.0,43447.0,2821.0
ECOD,0.9929491361850228,0.9042658085246701,0.8684135573910566,0.9811801128378516,0.8684135573910566,0.8684135573910566,3049.0,462.0,45124.0,462.0
