detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.6718181818181818,0.43259030904843465,0.38095238095238093,0.8916666666666667,0.36363636363636365,0.4,4.0,7.0,103.0,6.0
Isolation Forest,0.9218181818181819,0.5973877636240966,0.5,0.9166666666666666,0.5,0.5,5.0,5.0,105.0,5.0
Local Outlier Factor,0.9590909090909091,0.6872620261239186,0.5263157894736842,0.925,0.5555555555555556,0.5,5.0,4.0,106.0,5.0
DBSCAN,0.7322727272727273,0.505,0.5882352941176471,0.9416666666666667,0.7142857142857143,0.5,5.0,2.0,108.0,5.0
ECOD,0.7709090909090909,0.2608310111222967,0.4,0.9,0.4,0.4,4.0,6.0,104.0,6.0
