detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.7625215889464594,0.3687370627709612,0.38095238095238093,0.827433628318584,0.4,0.36363636363636365,24.0,36.0,350.0,42.0
Isolation Forest,0.7978882085099701,0.45295022322790573,0.5,0.8539823008849557,0.5,0.5,33.0,33.0,353.0,33.0
Local Outlier Factor,0.7596953995917727,0.3276682538538524,0.34375,0.8141592920353983,0.3548387096774194,0.3333333333333333,22.0,40.0,346.0,44.0
DBSCAN,0.7029949756633694,0.3354601519827884,0.3076923076923077,0.8407079646017699,0.42105263157894735,0.24242424242424243,16.0,22.0,364.0,50.0
ECOD,0.8051891976762443,0.4661627040085222,0.48484848484848486,0.8495575221238938,0.48484848484848486,0.48484848484848486,32.0,34.0,352.0,34.0
