detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.6474326641783515,0.16964359370702375,0.0,0.726,0.0,0.0,0.0,136.0,726.0,138.0
Isolation Forest,0.01618245401661118,0.07317903332835013,0.0,0.724,0.0,0.0,0.0,138.0,724.0,138.0
Local Outlier Factor,0.454874071085107,0.11615904175490893,0.022388059701492536,0.738,0.023076923076923078,0.021739130434782608,3.0,127.0,735.0,135.0
DBSCAN,0.4419953596287703,0.138,0.0,0.818,0.0,0.0,0.0,44.0,818.0,138.0
ECOD,0.004110763643700192,0.07298335044353119,0.0,0.724,0.0,0.0,0.0,138.0,724.0,138.0
