dataset,contamination,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.01,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,0.05,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,0.1,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,0.2,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,0.3,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,0.5,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
breastw,0.01,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,0.05,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,0.1,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,0.2,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,0.3,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,0.5,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
cardio,0.01,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,0.05,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,0.1,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,0.2,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,0.3,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,0.5,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
mammography,0.01,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,0.05,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,0.1,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,0.2,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,0.3,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,0.5,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
satellite,0.01,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,0.05,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,0.1,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,0.2,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,0.3,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,0.5,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
shuttle,0.01,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,0.05,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,0.1,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,0.2,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,0.3,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,0.5,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
fcps_target,0.01,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.05,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.1,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.2,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.3,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.5,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
graves_fuzzyx,0.01,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,0.05,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,0.1,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,0.2,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,0.3,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,0.5,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_ring_outliers,0.01,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,0.05,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,0.1,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,0.2,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,0.3,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,0.5,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_zigzag_outliers,0.01,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,0.05,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,0.1,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,0.2,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,0.3,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,0.5,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
sipu_flame,0.01,0.05,0.39639291465378423,0.17972531954471938,0.24067517806752575,0.2333086429098353,0.13714285714285715,0.17180910146711897
