detector,auc_roc,auc_pr,f1,accuracy,precision,recall,tp,fp,tn,fn
One-Class SVM,0.8727993683054105,0.4074929098778468,0.39660056657223797,0.8836701256144184,0.3954802259887006,0.3977272727272727,70.0,107.0,1548.0,106.0
Isolation Forest,0.9292845372150508,0.5679572736328944,0.5056818181818182,0.9049699617695248,0.5056818181818182,0.5056818181818182,89.0,87.0,1568.0,87.0
Local Outlier Factor,0.5457841252403186,0.15430419087925848,0.1723076923076923,0.8530857454942654,0.18791946308724833,0.1590909090909091,28.0,121.0,1534.0,148.0
DBSCAN,0.6343398104916232,0.25322815117698283,0.30656934306569344,0.8962315674494812,0.42857142857142855,0.23863636363636365,42.0,56.0,1599.0,134.0
ECOD,0.9350006866245537,0.5674131327593924,0.5284090909090909,0.9093391589295466,0.5284090909090909,0.5284090909090909,93.0,83.0,1572.0,83.0
